Area;Perimeter;MajorAxisLength;MinorAxisLength;AspectRation;Eccentricity;ConvexArea;EquivDiameter;Extent;Solidity;roundness;Compactness;ShapeFactor1;ShapeFactor2;ShapeFactor3;ShapeFactor4;Class
28395,00;610,29;208,18;173,89;1,20;0,55;28715,00;190,14;0,76;0,99;0,96;0,91;0,01;0,00;0,83;1,00;SEKER
28734,00;638,02;200,52;182,73;1,10;0,41;29172,00;191,27;0,78;0,98;0,89;0,95;0,01;0,00;0,91;1,00;SEKER
29380,00;624,11;212,83;175,93;1,21;0,56;29690,00;193,41;0,78;0,99;0,95;0,91;0,01;0,00;0,83;1,00;SEKER
30008,00;645,88;210,56;182,52;1,15;0,50;30724,00;195,47;0,78;0,98;0,90;0,93;0,01;0,00;0,86;0,99;SEKER
30140,00;620,13;201,85;190,28;1,06;0,33;30417,00;195,90;0,77;0,99;0,98;0,97;0,01;0,00;0,94;1,00;SEKER
30279,00;634,93;212,56;181,51;1,17;0,52;30600,00;196,35;0,78;0,99;0,94;0,92;0,01;0,00;0,85;1,00;SEKER
30477,00;670,03;211,05;184,04;1,15;0,49;30970,00;196,99;0,76;0,98;0,85;0,93;0,01;0,00;0,87;1,00;SEKER
30519,00;629,73;213,00;182,74;1,17;0,51;30847,00;197,12;0,77;0,99;0,97;0,93;0,01;0,00;0,86;1,00;SEKER
30685,00;635,68;213,53;183,16;1,17;0,51;31044,00;197,66;0,77;0,99;0,95;0,93;0,01;0,00;0,86;1,00;SEKER
30834,00;631,93;217,23;180,90;1,20;0,55;31120,00;198,14;0,78;0,99;0,97;0,91;0,01;0,00;0,83;1,00;SEKER
30917,00;640,77;213,56;184,44;1,16;0,50;31280,00;198,41;0,77;0,99;0,95;0,93;0,01;0,00;0,86;1,00;SEKER
31091,00;638,56;210,49;188,33;1,12;0,45;31458,00;198,96;0,79;0,99;0,96;0,95;0,01;0,00;0,89;1,00;SEKER
31107,00;640,59;214,65;184,97;1,16;0,51;31423,00;199,01;0,76;0,99;0,95;0,93;0,01;0,00;0,86;1,00;SEKER
31158,00;642,63;216,48;183,64;1,18;0,53;31492,00;199,18;0,80;0,99;0,95;0,92;0,01;0,00;0,85;1,00;SEKER
31158,00;641,11;212,07;187,19;1,13;0,47;31474,00;199,18;0,78;0,99;0,95;0,94;0,01;0,00;0,88;1,00;SEKER
31178,00;636,89;212,98;186,56;1,14;0,48;31520,00;199,24;0,76;0,99;0,97;0,94;0,01;0,00;0,88;1,00;SEKER
31202,00;644,45;215,64;184,47;1,17;0,52;31573,00;199,32;0,78;0,99;0,94;0,92;0,01;0,00;0,85;1,00;SEKER
31203,00;639,78;215,07;184,87;1,16;0,51;31558,00;199,32;0,76;0,99;0,96;0,93;0,01;0,00;0,86;1,00;SEKER
31272,00;638,67;212,45;187,54;1,13;0,47;31593,00;199,54;0,77;0,99;0,96;0,94;0,01;0,00;0,88;1,00;SEKER
31335,00;635,01;216,79;184,16;1,18;0,53;31599,00;199,74;0,77;0,99;0,98;0,92;0,01;0,00;0,85;1,00;SEKER
31374,00;636,40;219,87;182,01;1,21;0,56;31604,00;199,87;0,77;0,99;0,97;0,91;0,01;0,00;0,83;1,00;SEKER
31530,00;638,86;213,79;188,07;1,14;0,48;31791,00;200,36;0,77;0,99;0,97;0,94;0,01;0,00;0,88;1,00;SEKER
31573,00;674,10;217,31;185,45;1,17;0,52;32197,00;200,50;0,76;0,98;0,87;0,92;0,01;0,00;0,85;1,00;SEKER
31637,00;656,71;229,72;175,51;1,31;0,65;32045,00;200,70;0,76;0,99;0,92;0,87;0,01;0,00;0,76;1,00;SEKER
31675,00;657,43;236,75;171,21;1,38;0,69;32009,00;200,82;0,74;0,99;0,92;0,85;0,01;0,00;0,72;0,99;SEKER
31682,00;646,72;210,05;192,25;1,09;0,40;32026,00;200,85;0,77;0,99;0,95;0,96;0,01;0,00;0,91;1,00;SEKER
31703,00;656,31;215,71;187,27;1,15;0,50;32093,00;200,91;0,78;0,99;0,92;0,93;0,01;0,00;0,87;1,00;SEKER
31748,00;641,83;219,78;184,12;1,19;0,55;32020,00;201,05;0,78;0,99;0,97;0,91;0,01;0,00;0,84;1,00;SEKER
31768,00;650,95;220,96;183,29;1,21;0,56;32173,00;201,12;0,78;0,99;0,94;0,91;0,01;0,00;0,83;1,00;SEKER
31811,00;642,09;223,98;180,92;1,24;0,59;32052,00;201,25;0,77;0,99;0,97;0,90;0,01;0,00;0,81;1,00;SEKER
31821,00;649,68;213,74;189,97;1,13;0,46;32168,00;201,29;0,77;0,99;0,95;0,94;0,01;0,00;0,89;1,00;SEKER
31823,00;662,53;222,87;181,89;1,23;0,58;32274,00;201,29;0,77;0,99;0,91;0,90;0,01;0,00;0,82;1,00;SEKER
31837,00;656,40;224,91;180,44;1,25;0,60;32238,00;201,34;0,79;0,99;0,93;0,90;0,01;0,00;0,80;1,00;SEKER
31915,00;640,72;216,32;188,07;1,15;0,49;32184,00;201,58;0,78;0,99;0,98;0,93;0,01;0,00;0,87;1,00;SEKER
31972,00;639,97;213,69;190,64;1,12;0,45;32246,00;201,76;0,77;0,99;0,98;0,94;0,01;0,00;0,89;1,00;SEKER
31992,00;640,34;212,89;191,49;1,11;0,44;32258,00;201,83;0,77;0,99;0,98;0,95;0,01;0,00;0,90;1,00;SEKER
31994,00;654,54;212,17;192,42;1,10;0,42;32391,00;201,83;0,79;0,99;0,94;0,95;0,01;0,00;0,90;1,00;SEKER
32015,00;653,68;212,93;191,81;1,11;0,43;32375,00;201,90;0,76;0,99;0,94;0,95;0,01;0,00;0,90;1,00;SEKER
32026,00;654,24;230,98;176,93;1,31;0,64;32349,00;201,93;0,78;0,99;0,94;0,87;0,01;0,00;0,76;1,00;SEKER
32038,00;645,09;224,48;181,94;1,23;0,59;32308,00;201,97;0,77;0,99;0,97;0,90;0,01;0,00;0,81;1,00;SEKER
32044,00;652,65;216,15;188,97;1,14;0,49;32395,00;201,99;0,78;0,99;0,95;0,93;0,01;0,00;0,87;1,00;SEKER
32057,00;642,08;215,92;189,30;1,14;0,48;32301,00;202,03;0,78;0,99;0,98;0,94;0,01;0,00;0,88;1,00;SEKER
32066,00;669,31;236,44;173,23;1,36;0,68;32481,00;202,06;0,78;0,99;0,90;0,85;0,01;0,00;0,73;1,00;SEKER
32109,00;663,58;224,47;182,36;1,23;0,58;32567,00;202,19;0,77;0,99;0,92;0,90;0,01;0,00;0,81;1,00;SEKER
32114,00;648,57;222,66;183,83;1,21;0,56;32393,00;202,21;0,76;0,99;0,96;0,91;0,01;0,00;0,82;1,00;SEKER
32167,00;654,89;217,96;188,20;1,16;0,50;32521,00;202,38;0,76;0,99;0,94;0,93;0,01;0,00;0,86;1,00;SEKER
32213,00;658,22;221,48;185,30;1,20;0,55;32585,00;202,52;0,76;0,99;0,93;0,91;0,01;0,00;0,84;1,00;SEKER
32218,00;653,60;222,76;184,40;1,21;0,56;32566,00;202,54;0,75;0,99;0,95;0,91;0,01;0,00;0,83;1,00;SEKER
32233,00;665,49;221,23;185,59;1,19;0,54;32710,00;202,58;0,78;0,99;0,91;0,92;0,01;0,00;0,84;1,00;SEKER
32251,00;644,05;220,98;186,03;1,19;0,54;32514,00;202,64;0,76;0,99;0,98;0,92;0,01;0,00;0,84;1,00;SEKER
32258,00;654,81;220,80;186,28;1,19;0,54;32612,00;202,66;0,78;0,99;0,95;0,92;0,01;0,00;0,84;1,00;SEKER
32262,00;652,42;222,70;184,51;1,21;0,56;32563,00;202,68;0,78;0,99;0,95;0,91;0,01;0,00;0,83;1,00;SEKER
32279,00;646,56;218,18;188,55;1,16;0,50;32623,00;202,73;0,79;0,99;0,97;0,93;0,01;0,00;0,86;1,00;SEKER
32323,00;649,59;217,37;189,59;1,15;0,49;32615,00;202,87;0,78;0,99;0,96;0,93;0,01;0,00;0,87;1,00;SEKER
32338,00;653,60;221,41;186,14;1,19;0,54;32672,00;202,91;0,78;0,99;0,95;0,92;0,01;0,00;0,84;1,00;SEKER
32355,00;657,17;221,28;186,36;1,19;0,54;32720,00;202,97;0,78;0,99;0,94;0,92;0,01;0,00;0,84;1,00;SEKER
32368,00;675,39;221,66;186,18;1,19;0,54;32806,00;203,01;0,76;0,99;0,89;0,92;0,01;0,00;0,84;1,00;SEKER
32376,00;643,01;219,13;188,30;1,16;0,51;32608,00;203,03;0,78;0,99;0,98;0,93;0,01;0,00;0,86;1,00;SEKER
32433,00;653,76;219,84;188,01;1,17;0,52;32775,00;203,21;0,77;0,99;0,95;0,92;0,01;0,00;0,85;1,00;SEKER
32465,00;653,85;225,20;183,69;1,23;0,58;32767,00;203,31;0,77;0,99;0,95;0,90;0,01;0,00;0,82;1,00;SEKER
32514,00;649,01;221,45;187,13;1,18;0,53;32843,00;203,47;0,78;0,99;0,97;0,92;0,01;0,00;0,84;1,00;SEKER
32518,00;651,65;221,26;187,26;1,18;0,53;32811,00;203,48;0,76;0,99;0,96;0,92;0,01;0,00;0,85;1,00;SEKER
32518,00;655,13;220,82;187,67;1,18;0,53;32842,00;203,48;0,79;0,99;0,95;0,92;0,01;0,00;0,85;1,00;SEKER
32525,00;663,91;225,08;184,21;1,22;0,57;33000,00;203,50;0,77;0,99;0,93;0,90;0,01;0,00;0,82;1,00;SEKER
32578,00;657,57;227,04;182,84;1,24;0,59;32901,00;203,67;0,78;0,99;0,95;0,90;0,01;0,00;0,80;1,00;SEKER
32581,00;649,58;224,42;184,92;1,21;0,57;32851,00;203,67;0,77;0,99;0,97;0,91;0,01;0,00;0,82;1,00;SEKER
32615,00;664,79;218,15;191,00;1,14;0,48;33016,00;203,78;0,81;0,99;0,93;0,93;0,01;0,00;0,87;1,00;SEKER
32622,00;657,01;235,27;177,16;1,33;0,66;32902,00;203,80;0,78;0,99;0,95;0,87;0,01;0,00;0,75;1,00;SEKER
32698,00;653,05;225,01;185,14;1,22;0,57;32994,00;204,04;0,77;0,99;0,96;0,91;0,01;0,00;0,82;1,00;SEKER
32705,00;654,45;223,88;186,15;1,20;0,56;33021,00;204,06;0,78;0,99;0,96;0,91;0,01;0,00;0,83;1,00;SEKER
32713,00;660,04;215,42;193,49;1,11;0,44;33020,00;204,09;0,80;0,99;0,94;0,95;0,01;0,00;0,90;1,00;SEKER
32729,00;656,68;214,27;194,79;1,10;0,42;33066,00;204,14;0,77;0,99;0,95;0,95;0,01;0,00;0,91;1,00;SEKER
32774,00;660,61;222,87;187,48;1,19;0,54;33120,00;204,28;0,79;0,99;0,94;0,92;0,01;0,00;0,84;1,00;SEKER
32775,00;649,81;220,03;189,81;1,16;0,51;33062,00;204,28;0,77;0,99;0,98;0,93;0,01;0,00;0,86;1,00;SEKER
32795,00;651,03;225,21;185,60;1,21;0,57;33091,00;204,34;0,78;0,99;0,97;0,91;0,01;0,00;0,82;1,00;SEKER
32796,00;654,82;223,15;187,42;1,19;0,54;33111,00;204,35;0,80;0,99;0,96;0,92;0,01;0,00;0,84;1,00;SEKER
32799,00;653,73;219,91;190,11;1,16;0,50;33087,00;204,36;0,75;0,99;0,96;0,93;0,01;0,00;0,86;1,00;SEKER
32829,00;658,10;221,60;189,00;1,17;0,52;33154,00;204,45;0,79;0,99;0,95;0,92;0,01;0,00;0,85;1,00;SEKER
32836,00;669,19;218,41;191,76;1,14;0,48;33225,00;204,47;0,80;0,99;0,92;0,94;0,01;0,00;0,88;1,00;SEKER
32849,00;664,11;230,72;181,74;1,27;0,62;33245,00;204,51;0,75;0,99;0,94;0,89;0,01;0,00;0,79;1,00;SEKER
32870,00;655,51;220,36;190,02;1,16;0,51;33198,00;204,58;0,78;0,99;0,96;0,93;0,01;0,00;0,86;1,00;SEKER
32885,00;659,73;227,07;184,56;1,23;0,58;33225,00;204,62;0,79;0,99;0,95;0,90;0,01;0,00;0,81;1,00;SEKER
32920,00;671,61;219,09;191,46;1,14;0,49;33376,00;204,73;0,78;0,99;0,92;0,93;0,01;0,00;0,87;1,00;SEKER
32925,00;656,65;225,13;186,46;1,21;0,56;33252,00;204,75;0,77;0,99;0,96;0,91;0,01;0,00;0,83;1,00;SEKER
32934,00;668,20;221,41;189,60;1,17;0,52;33401,00;204,78;0,78;0,99;0,93;0,92;0,01;0,00;0,86;1,00;SEKER
32947,00;668,23;209,69;200,25;1,05;0,30;33336,00;204,82;0,77;0,99;0,93;0,98;0,01;0,00;0,95;1,00;SEKER
32951,00;688,26;226,65;185,52;1,22;0,57;33524,00;204,83;0,77;0,98;0,87;0,90;0,01;0,00;0,82;1,00;SEKER
32988,00;676,80;224,75;187,18;1,20;0,55;33461,00;204,94;0,77;0,99;0,91;0,91;0,01;0,00;0,83;1,00;SEKER
33006,00;669,77;223,53;188,24;1,19;0,54;33458,00;205,00;0,76;0,99;0,92;0,92;0,01;0,00;0,84;1,00;SEKER
33010,00;665,85;224,97;186,89;1,20;0,56;33374,00;205,01;0,79;0,99;0,94;0,91;0,01;0,00;0,83;1,00;SEKER
33013,00;652,68;223,78;188,03;1,19;0,54;33289,00;205,02;0,79;0,99;0,97;0,92;0,01;0,00;0,84;1,00;SEKER
